Stage,ID,Source,Original_Location,City,Region,Country,Caption,First,Last,Latitude,Longitude
Stage 1,,YouTube Video link,EVERY,EVERY,,,,E,Y,41.9074541,12.4577592
Stage 1,,YouTube Video link,CHALLENGE,CHALLENGE,,,,C,E,39.4858983,-121.2247517
Stage 1,,YouTube Video link,LEADS,LEADS,,,,L,S,53.2177564,6.5631504
Stage 1,,YouTube Video link,TOWARDS,TOWARDS,,,,T,S,53.7979208,-1.5428978
Stage 1,,YouTube Video link,LOCATION,LOCATION,,,,L,N,39.2138905,-79.6371124
Stage 1,,YouTube Video link,NAME,NAME,,,,N,E,28.4928366,-16.3127676
Stage 1,,YouTube Video link,SOMEWEHERE,SOMEWEHERE,,,,S,E,,
Stage 1,,YouTube Video link,AROUND,AROUND,,,,A,D,29.8966686,118.9369217
Stage 1,,YouTube Video link,WORLD,WORLD,,,,W,D,38.8988373,-77.0425667
Stage 1,?,YouTube Video link,"MAPUTO, MOZAMBIQUE",MAPUTO,,MOZAMBIQUE,,M,O,-25.966213,32.56745
Stage 1,1,Superbowl Ad,KUPANG INDONESIA,KUPANG INDONESIA,,,,K,A,-10.1632209,123.6017755
Stage 1,2,Superbowl Ad,"TASHKENT, UZBEKISTAN",TASHKENT,,UZBEKISTAN,,T,T,41.3123363,69.2787079
Stage 1,3,Superbowl Ad,"ARLES, FRANCE",ARLES,,FRANCE,,A,S,43.6776223,4.6309653
Stage 1,4,Superbowl Ad,"KABUL, AFGHANISTAN",KABUL,,AFGHANISTAN,,K,L,34.5269503,69.1850584
Stage 1,5,Superbowl Ad,"ACCRA, GHANA",ACCRA,,GHANA,,A,A,5.5571096,-0.2012376
Stage 1,6,Superbowl Ad,"TALLINN, ESTONIA",TALLINN,,ESTONIA,,T,N,59.437242,24.7572693
Stage 1,7,Superbowl Ad,LAHORE PAKISTAN,LAHORE PAKISTAN,,,,L,N,31.5656822,74.3141829
Stage 1,8,Superbowl Ad,"LIMA , PERU",LIMA,,PERU,,L,A,-12.0459808,-77.0305912
Stage 1,9,Superbowl Ad,NEW ORLEANS,NEW ORLEANS,,,,N,S,29.9561422,-90.0733934
Stage 1,10,Superbowl Ad,"St. George's, Grenada",St. George's,,Grenada,,S,S,12.0535331,-61.751805
Stage 1,11,Superbowl Ad,"CASABLANCA, MOROCCO",CASABLANCA,,MOROCCO,,C,A,33.5945144,-7.6200284
Stage 1,12,Superbowl Ad,Salesforce website,Salesforce website,,,,S,E,,
Stage 1,13,Bank Video,,,,,,N,N,,
Stage 1,14,Bank Video,"SEOUL, S. KOREA",SEOUL,,S. KOREA,,S,L,37.5666791,126.9782914
Stage 1,15,Bank Video,"LOWER HUTT, NEW ZEALAND",LOWER HUTT,,NEW ZEALAND,,L,T,-41.2125751,174.9057626
Stage 1,16,Bank Video,"ANKARA, TURKEY",ANKARA,,TURKEY,,A,A,39.9207759,32.8540497
Stage 1,17,Bank Video,"CAIRO, EGYPT",CAIRO,,EGYPT,,C,O,30.0443879,31.2357257
Stage 1,18,Bank Video,"TBLISI, GEORGIA",TBLISI,,GEORGIA,,T,I,41.6934591,44.8014495
Stage 1,19,Bank Video,"TOAD SUCK, ARKANSAS",TOAD SUCK,,ARKANSAS,,T,K,35.0756411,-92.5598824
Stage 1,20,Bank Video,DUCE CROATIA,DUCE CROATIA,,,,D,A,43.4405384,16.6656985
Stage 1,21,Bank Video,,,,,,N,N,,
Stage 1,22,Bank Video,"LINCOLN, NEBRASKA",LINCOLN,,NEBRASKA,,L,N,40.8088861,-96.7077751
Stage 1,23,Bank Video,"TIJUANA, MEXICO",TIJUANA,,MEXICO,,T,A,32.5317397,-117.019529
Stage 1,24,Bank Video,MOSCOW RUSSIA,MOSCOW RUSSIA,,,,M,A,55.625578,37.6063916
Stage 1,25,Celebrity Gifts,"ALGIERS, ALGERIA",ALGIERS,,ALGERIA,,A,S,36.7729333,3.0588445
Stage 1,26,Celebrity Gifts,"QUEENSLAND, AUSTRALIA",QUEENSLAND,,AUSTRALIA,,Q,D,-22.1646782,144.5844903
Stage 1,27,Celebrity Gifts,"DEKALB, IL",DEKALB,,IL,,D,B,41.8903447,-88.7713953
Stage 1,28,Celebrity Gifts,"MONTREAL, CANADA",MONTREAL,,CANADA,,M,L,45.5031824,-73.5698065
Stage 1,29,Celebrity Gifts,"WICHITA, KANSAS",WICHITA,,KANSAS,,W,A,37.6922361,-97.3375448
Stage 1,30,Celebrity Gifts,"COPEHNAGEN, DENMARK",COPEHNAGEN,,DENMARK,,C,N,,
Stage 1,31,Celebrity Gifts,"TIERRA DEL FUEGO, ARGENTINA",TIERRA DEL FUEGO,,ARGENTINA,,T,O,-54.3815213,-67.5678997
Stage 1,32,Celebrity Gifts,"TAMPA, FLORIDA",TAMPA,,FLORIDA,,T,A,27.9449854,-82.4583107
Stage 1,33,Celebrity Gifts,"BUFFALO, NEW YORK",BUFFALO,,NEW YORK,,B,O,42.8864163,-78.8781493
Stage 1,34,Celebrity Gifts,IVORY COAST,IVORY COAST,,,,I,T,7.9897371,-5.5679458
Stage 1,35,Unites gifts,"SUCRE, BOLIVIA",SUCRE,,BOLIVIA,,S,E,-19.0477251,-65.2594306
Stage 1,37,YouTube Shorts,Quito Ecuador,Quito Ecuador,,,,Q,R,-0.2201641,-78.5123274
Stage 1,38,YouTube Shorts,SOUTH POLE,SOUTH POLE,,,,S,E,-90.0,0.0
Stage 1,39,Website/SF Social,,,,,,N,N,,
Stage 1,40,Website/SF Social,"Male, Maldives",Male,,Maldives,,M,E,4.1779879,73.5107387
Stage 1,41,Website/SF Social,"ITURUP, ISLAND",ITURUP,,ISLAND,,I,P,,
Stage 1,42,Website/SF Social,"BABYLON, MESOPOTAMIA",BABYLON,,MESOPOTAMIA,,B,N,,
Stage 1,43,Website/SF Social,"YELLOWKNIFE, CANADA",YELLOWKNIFE,,CANADA,,Y,E,62.4540807,-114.377385
Stage 1,44,Website/SF Social,"THANE, INDIA",THANE,,INDIA,,T,E,19.3653598,73.3685437
Stage 1,45,Website/SF Social,"Nazaré, Portugal",Nazaré,,Portugal,,N,É,39.6029108,-9.0701572
Stage 1,46,Website/SF Social,"DIMTU, ETHIOPIA",DIMTU,,ETHIOPIA,,D,U,6.9315478,38.1252051
Stage 1,47,Website/SF Social,"NOME, ALASKA",NOME,,ALASKA,,N,E,64.4989922,-165.3987994
Stage 1,48,Lone Shark Social,ÎLE DE LA POSSESSION,ÎLE DE LA POSSESSION,,,,Î,N,-46.4114854,51.6685941
Stage 1,49,Lone Shark Social,ASCENSION ISLAND,ASCENSION ISLAND,,,,A,D,-7.942,-14.3578947
Stage 1,50,Lone Shark Social,HEARD ISLAND,HEARD ISLAND,,,,H,D,-53.0830706,73.5325035
Stage 1,51,Crossword,EYJAFJALLAJÖKULL,EYJAFJALLAJÖKULL,,,,E,L,63.6197936,-19.6150503
Stage 1,,,,,,,,N,N,,
Stage 1,52,Mini grid in 51,TITANIC HOOP (Great Circles),TITANIC HOOP (Great Circles),,,,T,),,
Stage 2,,Car,"Oil City, Pennsylvania, U.S. ",Oil City,Pennsylvania,U.S.,Join us at BARODYNAMICS!,O,Y,41.4341216,-79.7084738
Stage 2,,Car,"Ayacucho, Peru",Ayacucho,,Peru,See lovely EBULLIOSCOPE!,A,O,-14.0,-74.0
Stage 2,,Car,"Dar es Salaam, Tanzania",Dar es Salaam,,Tanzania,Meet us at FURFURACEOUS!,D,M,-6.8160837,39.2803583
Stage 2,,Car,"Baku, Azerbaijan",Baku,,Azerbaijan,You'll like HAPAXANTHOUS!,B,U,40.3755885,49.8328009
Stage 2,,Car,,,,,Get down to HEKISTOTHERM!,N,N,,
Stage 2,,Car,"Surat, India",Surat,,India,Come to INCLINOMETER!,S,T,21.2094892,72.8317058
Stage 2,,Car,"Guelph, Ontario, Canada",Guelph,Ontario,Canada,Head off to MARIMBAPHONE!,G,H,43.5460516,-80.2493276
Stage 2,,Car,"Beaty, Nevada, U.S.",Beaty,Nevada,U.S.,Return to NEBULOPHOBIA!,B,Y,31.8571546,-102.3914688
Stage 2,,Car,"Mosul, Iraq",Mosul,,Iraq,Drop in on OCHROLEUCOUS!,M,L,36.3436941,43.0997156
Stage 2,,Car,"Visby, Sweden",Visby,,Sweden,Stay at RECEPTACULAR!,V,Y,57.6379361,18.297982
Stage 2,,Car,"Istanbul, Turkey",Istanbul,,Turkey,Take in RISORGIMENTO!,I,L,41.006381,28.9758715
Stage 2,,Car,"Genoa, Italy",Genoa,,Italy,Stop off at SALAMANDROID!,G,A,44.40726,8.9338624
Stage 2,,Car,"Isla Calavera, Mexico",Isla Calavera,,Mexico,Relax at SCAPULOMANCY!,I,A,,
Stage 2,,Car,"Giresun, Turkey",Giresun,,Turkey,Encounter THEANTHROPIC!,G,N,40.6531617,38.5172032
Stage 2,,Car,"Medford, Oregon",Medford,,Oregon,Hop over to ULTRAMONTANE!,M,D,42.3264181,-122.8718605
Stage 2,,Plane,"Ambanja, Madagascar",Ambanja,,Madagascar,See you at ABOUTSLEDGES!,A,A,-13.6758118,48.4527762
Stage 2,,Plane,"St-Pierre, France",St-Pierre,,France,Such fun at ABSQUATULATE!,S,E,48.3832725,7.4718731
Stage 2,,Plane,"Krasnodar, Russia",Krasnodar,,Russia,Come visit ECTYPOGRAPHY!,K,R,45.0351532,38.9772396
Stage 2,,Plane,"Tucuman, Argentina",Tucuman,,Argentina,Chill at ELEEMOSYNARY!,T,N,-27.0448424,-65.3657954
Stage 2,,Plane,"Derby, Australia",Derby,,Australia,Be well at EPANASTROPHE,D,Y,-17.3031912,123.6287226
Stage 2,,Plane,"Manaus, Brazil",Manaus,,Brazil,You’ll love EXSANGUINOUS!,M,S,-3.1316333,-59.9825041
Stage 2,,Plane,"Pune, India",Pune,,India,Go to LAMPADEPHORE!,P,E,18.5213738,73.8545071
